district,region,sub_locality,year,month,date,population,total_crimes,crimes_per_100k,violent_crimes,property_crimes,crimes_against_women,hotspot_flag,latitude,longitude,location_address,cctv_status,complaint_body,crime_type
Jaipur,North Jaipur,Hospital Road,2021,1,2021-01-01,2810859,7463,265.51,1832,4133,1277,0,26.90485,75.77093,"Hospital Road, North Jaipur, Jaipur, Rajasthan",Not Installed,Verbal argument escalated. Police intervened.,Public Disturbance
Jaipur,North Jaipur,Main Market,2021,1,2021-01-01,2810859,9356,332.86,2296,5181,1601,1,26.9747,75.79771,"Main Market, North Jaipur, Jaipur, Rajasthan",Not Installed,A case of extremism was reported near outside the textile shop in Main Market.,Extremism/Anti-national
Jaipur,South Jaipur,Railway Station,2021,1,2021-01-01,2810859,5835,207.6,1432,3231,998,0,26.98284,75.74903,"Railway Station, South Jaipur, Jaipur, Rajasthan",Not Installed,Chain snatching incident occurred outside temple in Railway Station.,Other
Jaipur,South Jaipur,Bus Stand,2021,1,2021-01-01,2810859,9957,354.23,2444,5514,1704,1,26.97723,75.78787,"Bus Stand, South Jaipur, Jaipur, Rajasthan",Installed,The complainant misplaced their bag.,Lost Property
Jaipur,East Jaipur,Mall Road,2021,1,2021-01-01,2810859,7318,260.36,1796,4053,1252,0,26.84081,75.83019,"Mall Road, East Jaipur, Jaipur, Rajasthan",Installed,A case of drunken brawl was reported near inside Triton Mall.,Public Disturbance
Jaipur,East Jaipur,Clock Tower,2021,1,2021-01-01,2810859,5977,212.62,1467,3310,1023,0,26.88928,75.75488,"Clock Tower, East Jaipur, Jaipur, Rajasthan",Not Installed,A case of extremism was reported near outside the textile shop in Clock Tower.,Extremism/Anti-national
Jaipur,West Jaipur,Court Area,2021,1,2021-01-01,2810859,9321,331.59,2288,5162,1595,1,26.88995,75.85498,"Court Area, West Jaipur, Jaipur, Rajasthan",Installed,A case of drunken brawl was reported near inside Triton Mall.,Public Disturbance
Jaipur,West Jaipur,Bus Stand,2021,1,2021-01-01,2810859,10298,366.35,2527,5703,1762,1,26.88436,75.66286,"Bus Stand, West Jaipur, Jaipur, Rajasthan",Not Installed,Illegal gambling reported in Bus Stand.,Illegal Gambling
Jaipur,Central Jaipur,Bus Stand,2021,1,2021-01-01,2810859,9001,320.21,2209,4984,1540,1,26.92792,75.79357,"Bus Stand, Central Jaipur, Jaipur, Rajasthan",Installed,A case of car theft was reported near outside Gaurav Tower.,Vehicle Theft
Jaipur,Central Jaipur,Main Market,2021,1,2021-01-01,2810859,9612,341.94,2359,5323,1645,1,26.84784,75.77913,"Main Market, Central Jaipur, Jaipur, Rajasthan",Installed,The complainant misplaced their bag.,Lost Property
Jaipur,North Jaipur,Industrial Area,2021,2,2021-02-01,2810859,9199,327.25,1001,4916,2281,1,26.9926,75.67564,"Industrial Area, North Jaipur, Jaipur, Rajasthan",Installed,Valuable item went missing. No suspects identified.,Other
Jaipur,North Jaipur,College Road,2021,2,2021-02-01,2810859,8365,297.59,910,4471,2074,0,26.8529,75.75301,"College Road, North Jaipur, Jaipur, Rajasthan",Installed,The complainant's bike was stolen. No CCTV footage available.,Vehicle Theft
Jaipur,South Jaipur,Clock Tower,2021,2,2021-02-01,2810859,7946,282.69,864,4247,1971,0,26.98655,75.74278,"Clock Tower, South Jaipur, Jaipur, Rajasthan",Not Installed,Chain snatching incident occurred outside temple in Clock Tower.,Other
Jaipur,South Jaipur,Hospital Road,2021,2,2021-02-01,2810859,5814,206.83,632,3107,1442,0,26.90634,75.82144,"Hospital Road, South Jaipur, Jaipur, Rajasthan",Not Installed,Domestic violence complaint received in Hospital Road.,Other
Jaipur,East Jaipur,Tourist Spot,2021,2,2021-02-01,2810859,7662,272.57,833,4095,1900,0,26.98604,75.76204,"Tourist Spot, East Jaipur, Jaipur, Rajasthan",Not Installed,Chain snatching incident occurred outside temple in Tourist Spot.,Other
Jaipur,East Jaipur,Police Station Area,2021,2,2021-02-01,2810859,9444,335.97,1027,5047,2342,1,26.91393,75.74841,"Police Station Area, East Jaipur, Jaipur, Rajasthan",Not Installed,A case of deception was reported near outside the school in Police Station Area.,Fraud/Deception
Jaipur,West Jaipur,Clock Tower,2021,2,2021-02-01,2810859,9441,335.87,1027,5046,2341,1,26.80267,75.76272,"Clock Tower, West Jaipur, Jaipur, Rajasthan",Not Installed,The complainant was duped in a financial scam.,Financial Fraud
Jaipur,West Jaipur,Industrial Area,2021,2,2021-02-01,2810859,9648,343.23,1049,5156,2393,1,26.90263,75.76077,"Industrial Area, West Jaipur, Jaipur, Rajasthan",Not Installed,Noise complaint received. Accused warned.,Other
Jaipur,Central Jaipur,Police Station Area,2021,2,2021-02-01,2810859,7510,267.17,817,4014,1862,0,26.88124,75.81556,"Police Station Area, Central Jaipur, Jaipur, Rajasthan",Not Installed,The complainant was duped in a financial scam.,Financial Fraud
Jaipur,Central Jaipur,Temple Chowk,2021,2,2021-02-01,2810859,6533,232.41,711,3492,1620,0,26.89195,75.8576,"Temple Chowk, Central Jaipur, Jaipur, Rajasthan",Not Installed,Pickpocketing incident reported in Temple Chowk market.,Other
Jaipur,North Jaipur,Tourist Spot,2021,3,2021-03-01,2810859,7215,256.68,1811,4523,1082,0,26.76781,75.80762,"Tourist Spot, North Jaipur, Jaipur, Rajasthan",Installed,Valuable item went missing. No suspects identified.,Other
Jaipur,North Jaipur,Hospital Road,2021,3,2021-03-01,2810859,7538,268.19,1892,4726,1130,0,26.98201,75.80741,"Hospital Road, North Jaipur, Jaipur, Rajasthan",Not Installed,A case of deception was reported near outside the school in Hospital Road.,Fraud/Deception
Jaipur,South Jaipur,Hospital Road,2021,3,2021-03-01,2810859,7606,270.63,1909,4769,1141,0,26.90175,75.84523,"Hospital Road, South Jaipur, Jaipur, Rajasthan",Installed,A case of boundary violation was reported near near Jawahar Circle.,Property Dispute
Jaipur,South Jaipur,Temple Chowk,2021,3,2021-03-01,2810859,7608,270.68,1910,4770,1141,0,26.88442,75.82091,"Temple Chowk, South Jaipur, Jaipur, Rajasthan",Installed,Valuable item went missing. No suspects identified.,Other
Jaipur,East Jaipur,Court Area,2021,3,2021-03-01,2810859,8905,316.83,2235,5583,1335,1,26.91667,75.7517,"Court Area, East Jaipur, Jaipur, Rajasthan",Not Installed,A car was lifted. Police are tracing registration details.,Vehicle Theft
Jaipur,East Jaipur,Highway Junction,2021,3,2021-03-01,2810859,7894,280.85,1982,4949,1184,0,26.84325,75.82332,"Highway Junction, East Jaipur, Jaipur, Rajasthan",Not Installed,The complainant's bike was stolen. No CCTV footage available.,Vehicle Theft
Jaipur,West Jaipur,Tourist Spot,2021,3,2021-03-01,2810859,6390,227.35,1604,4006,958,0,26.90728,75.6772,"Tourist Spot, West Jaipur, Jaipur, Rajasthan",Installed,Cyber fraud case reported. Money withdrawn illegally.,Other
Jaipur,West Jaipur,School Colony,2021,3,2021-03-01,2810859,5637,200.55,1415,3534,845,0,26.91396,75.81682,"School Colony, West Jaipur, Jaipur, Rajasthan",Not Installed,Cyber fraud case reported. Money withdrawn illegally.,Other
Jaipur,Central Jaipur,School Colony,2021,3,2021-03-01,2810859,5670,201.73,1423,3555,850,0,26.86889,75.73283,"School Colony, Central Jaipur, Jaipur, Rajasthan",Not Installed,Pickpocketing incident reported in School Colony market.,Other
Jaipur,Central Jaipur,Clock Tower,2021,3,2021-03-01,2810859,8665,308.29,2175,5432,1299,1,26.91434,75.75013,"Clock Tower, Central Jaipur, Jaipur, Rajasthan",Not Installed,A car was lifted. Police are tracing registration details.,Vehicle Theft
Jaipur,North Jaipur,Clock Tower,2021,4,2021-04-01,2810859,9310,331.22,1062,4981,1727,1,26.9728,75.86016,"Clock Tower, North Jaipur, Jaipur, Rajasthan",Not Installed,Chain snatching incident occurred outside temple in Clock Tower.,Other
Jaipur,North Jaipur,Tourist Spot,2021,4,2021-04-01,2810859,7333,260.9,837,3923,1360,0,26.8991,75.72376,"Tourist Spot, North Jaipur, Jaipur, Rajasthan",Not Installed,A case of scam was reported near outside the post office in Tourist Spot.,Financial Fraud
Jaipur,South Jaipur,Main Market,2021,4,2021-04-01,2810859,6927,246.42,790,3705,1285,0,26.90908,75.71108,"Main Market, South Jaipur, Jaipur, Rajasthan",Not Installed,Domestic violence complaint received in Main Market.,Other
Jaipur,South Jaipur,Police Station Area,2021,4,2021-04-01,2810859,6904,245.62,788,3693,1281,0,26.90266,75.76489,"Police Station Area, South Jaipur, Jaipur, Rajasthan",Installed,A case of anti-national activity was reported near outside the post office in Police Station Area.,Extremism/Anti-national
Jaipur,East Jaipur,Court Area,2021,4,2021-04-01,2810859,6626,235.73,756,3545,1229,0,26.93756,75.76924,"Court Area, East Jaipur, Jaipur, Rajasthan",Not Installed,Verbal argument escalated. Police intervened.,Public Disturbance
Jaipur,East Jaipur,Highway Junction,2021,4,2021-04-01,2810859,9285,330.32,1059,4967,1722,1,26.91969,75.71024,"Highway Junction, East Jaipur, Jaipur, Rajasthan",Not Installed,A car was lifted. Police are tracing registration details.,Vehicle Theft
Jaipur,West Jaipur,Mall Road,2021,4,2021-04-01,2810859,10451,371.82,1192,5591,1938,1,26.8764,75.77043,"Mall Road, West Jaipur, Jaipur, Rajasthan",Not Installed,A case of drunken brawl was reported near inside Triton Mall.,Public Disturbance
Jaipur,West Jaipur,Bus Stand,2021,4,2021-04-01,2810859,8130,289.22,927,4349,1508,0,26.91307,75.81861,"Bus Stand, West Jaipur, Jaipur, Rajasthan",Not Installed,The complainant's bike was stolen. No CCTV footage available.,Vehicle Theft
Jaipur,Central Jaipur,Clock Tower,2021,4,2021-04-01,2810859,6997,248.92,798,3743,1298,0,26.90239,75.69687,"Clock Tower, Central Jaipur, Jaipur, Rajasthan",Not Installed,Pickpocketing incident reported in Clock Tower market.,Other
Jaipur,Central Jaipur,Court Area,2021,4,2021-04-01,2810859,7584,269.83,865,4057,1407,0,26.91967,75.78939,"Court Area, Central Jaipur, Jaipur, Rajasthan",Not Installed,Chain snatching incident occurred outside temple in Court Area.,Other
Jaipur,North Jaipur,Main Market,2021,5,2021-05-01,2810859,9557,340.01,1143,3405,2137,1,26.8573,75.79115,"Main Market, North Jaipur, Jaipur, Rajasthan",Not Installed,A case of deception was reported near outside the school in Main Market.,Fraud/Deception
Jaipur,North Jaipur,Industrial Area,2021,5,2021-05-01,2810859,9027,321.16,1080,3217,2019,1,26.85933,75.83785,"Industrial Area, North Jaipur, Jaipur, Rajasthan",Not Installed,Noise complaint received. Accused warned.,Other
Jaipur,South Jaipur,Hospital Road,2021,5,2021-05-01,2810859,6770,240.85,810,2412,1514,0,26.90428,75.84458,"Hospital Road, South Jaipur, Jaipur, Rajasthan",Installed,Domestic violence complaint received in Hospital Road.,Other
Jaipur,South Jaipur,Main Market,2021,5,2021-05-01,2810859,9309,331.18,1114,3317,2082,1,26.81038,75.70997,"Main Market, South Jaipur, Jaipur, Rajasthan",Not Installed,Cyber fraud case reported. Money withdrawn illegally.,Other
Jaipur,East Jaipur,Hospital Road,2021,5,2021-05-01,2810859,8849,314.83,1059,3153,1979,1,26.93012,75.74421,"Hospital Road, East Jaipur, Jaipur, Rajasthan",Not Installed,Cyber fraud case reported. Money withdrawn illegally.,Other
Jaipur,East Jaipur,Lake Side,2021,5,2021-05-01,2810859,6943,246.99,831,2474,1553,0,27.01464,75.77242,"Lake Side, East Jaipur, Jaipur, Rajasthan",Not Installed,Domestic violence complaint received in Lake Side.,Other
Jaipur,West Jaipur,Bus Stand,2021,5,2021-05-01,2810859,10005,355.94,1197,3565,2237,1,26.99636,75.76913,"Bus Stand, West Jaipur, Jaipur, Rajasthan",Not Installed,A case of scam was reported near outside the post office in Bus Stand.,Financial Fraud
Jaipur,West Jaipur,Highway Junction,2021,5,2021-05-01,2810859,6150,218.81,736,2192,1375,0,26.91337,75.81573,"Highway Junction, West Jaipur, Jaipur, Rajasthan",Installed,Cyber fraud case reported. Money withdrawn illegally.,Other
Jaipur,Central Jaipur,Highway Junction,2021,5,2021-05-01,2810859,7034,250.23,841,2506,1573,0,26.9501,75.7255,"Highway Junction, Central Jaipur, Jaipur, Rajasthan",Not Installed,A case of extremism was reported near outside the textile shop in Highway Junction.,Extremism/Anti-national
Jaipur,Central Jaipur,Temple Chowk,2021,5,2021-05-01,2810859,7948,282.78,951,2832,1778,0,26.94857,75.75981,"Temple Chowk, Central Jaipur, Jaipur, Rajasthan",Not Installed,Domestic violence complaint received in Temple Chowk.,Other
Jaipur,North Jaipur,Temple Chowk,2021,6,2021-06-01,2810859,9130,324.82,2669,5453,1074,1,26.92127,75.81278,"Temple Chowk, North Jaipur, Jaipur, Rajasthan",Not Installed,Cyber fraud case reported. Money withdrawn illegally.,Other
Jaipur,North Jaipur,Mall Road,2021,6,2021-06-01,2810859,8541,303.85,2497,5101,1005,1,26.94524,75.78703,"Mall Road, North Jaipur, Jaipur, Rajasthan",Installed,Valuable item went missing. No suspects identified.,Other
Jaipur,South Jaipur,Temple Chowk,2021,6,2021-06-01,2810859,7323,260.51,2140,4373,862,0,26.94934,75.81953,"Temple Chowk, South Jaipur, Jaipur, Rajasthan",Not Installed,A car was lifted. Police are tracing registration details.,Vehicle Theft
Jaipur,South Jaipur,Court Area,2021,6,2021-06-01,2810859,6959,247.57,2034,4156,819,0,26.86212,75.82953,"Court Area, South Jaipur, Jaipur, Rajasthan",Not Installed,Attempted burglary reported near residential colony in Court Area.,Burglary
Jaipur,East Jaipur,Mall Road,2021,6,2021-06-01,2810859,5370,191.06,1570,3207,632,0,26.91717,75.74737,"Mall Road, East Jaipur, Jaipur, Rajasthan",Installed,Illegal gambling reported in Mall Road.,Illegal Gambling
Jaipur,East Jaipur,Police Station Area,2021,6,2021-06-01,2810859,7718,274.59,2256,4610,908,0,26.88797,75.81357,"Police Station Area, East Jaipur, Jaipur, Rajasthan",Not Installed,Chain snatching incident occurred outside temple in Police Station Area.,Other
Jaipur,West Jaipur,Railway Station,2021,6,2021-06-01,2810859,5365,190.88,1568,3204,631,0,26.79597,75.81195,"Railway Station, West Jaipur, Jaipur, Rajasthan",Installed,Illegal gambling reported in Railway Station.,Illegal Gambling
Jaipur,West Jaipur,Highway Junction,2021,6,2021-06-01,2810859,7431,264.36,2172,4438,874,0,26.98225,75.71179,"Highway Junction, West Jaipur, Jaipur, Rajasthan",Installed,A case of boundary violation was reported near near Jawahar Circle.,Property Dispute
Jaipur,Central Jaipur,Temple Chowk,2021,6,2021-06-01,2810859,7647,272.04,2235,4567,900,0,27.01625,75.70053,"Temple Chowk, Central Jaipur, Jaipur, Rajasthan",Installed,A case of anti-national activity was reported near outside the post office in Temple Chowk.,Extremism/Anti-national
Jaipur,Central Jaipur,Railway Station,2021,6,2021-06-01,2810859,7361,261.88,2152,4396,866,0,26.84632,75.79417,"Railway Station, Central Jaipur, Jaipur, Rajasthan",Not Installed,A case of boundary violation was reported near near Jawahar Circle.,Property Dispute
Jaipur,North Jaipur,Lake Side,2021,7,2021-07-01,2810859,5788,205.89,905,2055,1095,0,26.99896,75.75614,"Lake Side, North Jaipur, Jaipur, Rajasthan",Not Installed,A case of boundary violation was reported near near Jawahar Circle.,Property Dispute
Jaipur,North Jaipur,Temple Chowk,2021,7,2021-07-01,2810859,6413,228.13,1002,2277,1214,0,26.95447,75.78988,"Temple Chowk, North Jaipur, Jaipur, Rajasthan",Not Installed,Valuable item went missing. No suspects identified.,Other
Jaipur,South Jaipur,Court Area,2021,7,2021-07-01,2810859,10450,371.77,1634,3711,1978,1,26.89096,75.83427,"Court Area, South Jaipur, Jaipur, Rajasthan",Not Installed,Attempted burglary reported near residential colony in Court Area.,Burglary
Jaipur,South Jaipur,Clock Tower,2021,7,2021-07-01,2810859,6104,217.15,954,2168,1155,0,26.89225,75.77785,"Clock Tower, South Jaipur, Jaipur, Rajasthan",Installed,A case of drunken brawl was reported near inside Triton Mall.,Public Disturbance
Jaipur,East Jaipur,Bus Stand,2021,7,2021-07-01,2810859,9544,339.53,1492,3389,1806,1,26.82715,75.80587,"Bus Stand, East Jaipur, Jaipur, Rajasthan",Not Installed,Cyber fraud case reported. Money withdrawn illegally.,Other
Jaipur,East Jaipur,Clock Tower,2021,7,2021-07-01,2810859,8317,295.87,1300,2953,1574,0,26.86594,75.8457,"Clock Tower, East Jaipur, Jaipur, Rajasthan",Not Installed,The complainant was duped in a financial scam.,Financial Fraud
Jaipur,West Jaipur,Hospital Road,2021,7,2021-07-01,2810859,8836,314.32,1381,3137,1672,1,26.91192,75.77494,"Hospital Road, West Jaipur, Jaipur, Rajasthan",Not Installed,Cyber fraud case reported. Money withdrawn illegally.,Other
Jaipur,West Jaipur,Court Area,2021,7,2021-07-01,2810859,6069,215.9,949,2155,1149,0,26.83132,75.77735,"Court Area, West Jaipur, Jaipur, Rajasthan",Not Installed,Noise complaint received. Accused warned.,Other
Jaipur,Central Jaipur,School Colony,2021,7,2021-07-01,2810859,6631,235.89,1036,2355,1255,0,26.90971,75.72545,"School Colony, Central Jaipur, Jaipur, Rajasthan",Not Installed,A car was lifted. Police are tracing registration details.,Vehicle Theft
Jaipur,Central Jaipur,Highway Junction,2021,7,2021-07-01,2810859,8694,309.29,1359,3087,1645,1,26.92835,75.80552,"Highway Junction, Central Jaipur, Jaipur, Rajasthan",Not Installed,A case of extremism was reported near outside the textile shop in Highway Junction.,Extremism/Anti-national
Jaipur,North Jaipur,Railway Station,2021,8,2021-08-01,2810859,7443,264.81,1966,4814,1282,0,26.95388,75.73204,"Railway Station, North Jaipur, Jaipur, Rajasthan",Not Installed,A case of drunken brawl was reported near inside Triton Mall.,Public Disturbance
Jaipur,North Jaipur,Hospital Road,2021,8,2021-08-01,2810859,6671,237.35,1762,4315,1149,0,26.9952,75.74283,"Hospital Road, North Jaipur, Jaipur, Rajasthan",Not Installed,A case of extremism was reported near outside the textile shop in Hospital Road.,Extremism/Anti-national
Jaipur,South Jaipur,Lake Side,2021,8,2021-08-01,2810859,8609,306.3,2274,5568,1483,1,26.93913,75.77547,"Lake Side, South Jaipur, Jaipur, Rajasthan",Not Installed,Domestic violence complaint received in Lake Side.,Other
Jaipur,South Jaipur,Tourist Spot,2021,8,2021-08-01,2810859,7609,270.72,2009,4921,1310,0,26.89577,75.71426,"Tourist Spot, South Jaipur, Jaipur, Rajasthan",Not Installed,A case of anti-national activity was reported near outside the post office in Tourist Spot.,Extremism/Anti-national
Jaipur,East Jaipur,Highway Junction,2021,8,2021-08-01,2810859,9129,324.78,2411,5904,1572,1,26.87658,75.75196,"Highway Junction, East Jaipur, Jaipur, Rajasthan",Not Installed,The complainant was duped in a financial scam.,Financial Fraud
Jaipur,East Jaipur,Tourist Spot,2021,8,2021-08-01,2810859,10325,367.33,2727,6678,1778,1,26.89608,75.79962,"Tourist Spot, East Jaipur, Jaipur, Rajasthan",Not Installed,Verbal argument escalated. Police intervened.,Public Disturbance
Jaipur,West Jaipur,Mall Road,2021,8,2021-08-01,2810859,7441,264.73,1965,4812,1281,0,26.85628,75.74796,"Mall Road, West Jaipur, Jaipur, Rajasthan",Not Installed,A case of deception was reported near outside the school in Mall Road.,Fraud/Deception
